Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Dispute_Status_for_Publication,Name_of_Associated_Covered_Device_or_Medical_Supply1,Name_of_Associated_Covered_Drug_or_Biological1,Physician_Specialty,status
Stryker Corporation,No,STRYKER PERFORMANCE SOLUTIONS,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
Stryker Corporation,No,SURGICAL,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Trauma,disallowed
Stryker Corporation,No,TRAUMA & EXTREMITIES,,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
Stryker Corporation,No,ORTHOBIOLOGICS,,Allopathic & Osteopathic Physicians|Anesthesiology|Pediatric Anesthesiology,disallowed
Stryker Corporation,Yes,CERVICAL,,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation,disallowed
Stryker Corporation,No,KNEES,,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Sports Medicine,disallowed
Stryker Corporation,No,COILS,,Allopathic & Osteopathic Physicians|Ophthalmology,disallowed
Stryker Corporation,No,NEURO SPINE ENT,,Allopathic & Osteopathic Physicians|Otolaryngology|Pediatric Otolaryngology,disallowed
Stryker Corporation,No,New Product Development,,Allopathic & Osteopathic Physicians|Otolaryngology|Plastic Surgery within the Head & Neck,disallowed
Stryker Corporation,No,STENTRIEVERS,,Chiropractic Providers|Chiropractor|Orthopedic,disallowed
Stryker Corporation,No,STENTRIEVERS,,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
Stryker Corporation,No,STRYKER PERFORMANCE SOLUTIONS,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Pediatric Orthopaedic Surgery,disallowed
Stryker Corporation,No,New Product Development,,Allopathic & Osteopathic Physicians|Surgery,disallowed
Stryker Corporation,No,BONE CEMENT,,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
Stryker Corporation,No,New Product Development,,Allopathic & Osteopathic Physicians|Radiology|Vascular & Interventional Radiology,disallowed
Stryker Corporation,No,HIPS,,Allopathic & Osteopathic Physicians|Family Medicine|Adult Medicine,disallowed
Stryker Corporation,No,GENERAL REPROCESSING PROCEDURES AND BENEFITS,,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
Stryker Corporation,No,MEDPOR,,Dental Providers|Dentist|General Practice,disallowed
Stryker Corporation,No,HIPS,,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
Stryker Corporation,No,THORACO-LUMBAR,,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery,disallowed
Stryker Corporation,No,MAXFACE,,Allopathic & Osteopathic Physicians|Otolaryngology|Otolaryngology/Facial Plastic Surgery,disallowed
Stryker Corporation,No,HIPS,,Allopathic & Osteopathic Physicians|Surgery|Plastic and Reconstructive Surgery,disallowed
Stryker Corporation,No,JOINT PRESERVATION,,Allopathic & Osteopathic Physicians|Surgery,disallowed
Stryker Corporation,No,STENTRIEVERS,,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Pain Medicine,disallowed
Stryker Corporation,No,NEURO SPINE ENT,,Allopathic & Osteopathic Physicians|Surgery|Surgical Oncology,disallowed
Stryker Corporation,Yes,TRAUMA & EXTREMITIES,,,disallowed
Stryker Corporation,No,BONE SUBSTITUTES BIOLOGICS,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Gynecologic Oncology,disallowed
Stryker Corporation,No,VISUALIZATION,,Allopathic & Osteopathic Physicians|Colon & Rectal Surgery,disallowed
Stryker Corporation,No,TRAUMA & EXTREMITIES,,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
Stryker Corporation,No,MEDPOR,,Allopathic & Osteopathic Physicians|Surgery,disallowed
Stryker Corporation,No,THORACO-LUMBAR,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
Stryker Corporation,No,NEURO SPINE ENT,,Dental Providers|Dentist|Oral and Maxillofacial Surgery,disallowed
Stryker Corporation,No,BONE CEMENT,,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Pain Medicine,disallowed
Stryker Corporation,No,COMMUNICATIONS,,Allopathic & Osteopathic Physicians|Surgery,disallowed
Stryker Corporation,No,BONE CEMENT,,Other Service Providers|Specialist,disallowed
Stryker Corporation,No,ACCESS PRODUCTS,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
Stryker Corporation,No,NAVIGATION,,,disallowed
Stryker Corporation,No,STENTRIEVERS,,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation,disallowed
Stryker Corporation,No,ORTHOBIOLOGICS,,Allopathic & Osteopathic Physicians|Family Medicine|Sports Medicine,disallowed
Stryker Corporation,No,ACCESS PRODUCTS,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,disallowed
Stryker Corporation,No,BIOMATERIALS,,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery,disallowed
Stryker Corporation,No,STENTRIEVERS,,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
Stryker Corporation,No,CERVICAL,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
Stryker Corporation,No,STENTRIEVERS,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
Stryker Corporation,No,STENTRIEVERS,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Vascular Neurology,disallowed
Stryker Corporation,No,LAPAROSCOPY,,,disallowed
Stryker Corporation,No,GENERAL REPROCESSING PROCEDURES AND BENEFITS,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
Stryker Corporation,No,HIPS,,Allopathic & Osteopathic Physicians|Preventive Medicine|Sports Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,PRADAXA,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,TRADJENTA,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"Synergetics USA, Inc",No,VersaVIT,,Allopathic & Osteopathic Physicians|Ophthalmology,disallowed
"Synergetics USA, Inc",No,Forceps,,Allopathic & Osteopathic Physicians|Ophthalmology,disallowed
"Synergetics USA, Inc",No,Other,,Allopathic & Osteopathic Physicians|Ophthalmology,disallowed
"Ozark Cryosurgery, LLC",No,,,Allopathic & Osteopathic Physicians|Urology,disallowed
"Ozark Cryosurgery, LLC",No,,,Other Service Providers|Specialist,disallowed
"Ozark Cryosurgery, LLC",No,IceEdge-Rod Sphere Cryoablation Needles,,Allopathic & Osteopathic Physicians|Urology,disallowed
"Ozark Cryosurgery, LLC",No,,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,Pradaxa,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,Gilotrif,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,PRADAXA,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,TRADJENTA,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,PRADAXA,Allopathic & Osteopathic Physicians|Internal Medicine|Clinical Cardiac Electrophysiology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,TRADJENTA,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,PRADAXA,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"FSC Laboratories, Inc.",No,,Primsol,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"Synergetics USA, Inc",No,Other,,Allopathic & Osteopathic Physicians|Surgery,disallowed
"Ozark Cryosurgery, LLC",No,,,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
"Ozark Cryosurgery, LLC",No,,,Allopathic & Osteopathic Physicians|Radiology|Radiation Oncology,disallowed
"Ozark Cryosurgery, LLC",No,,,Allopathic & Osteopathic Physicians|Urology|Pediatric Urology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,Pradaxa,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"FSC Laboratories, Inc.",No,,Primsol,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
"FSC Laboratories, Inc.",No,,ProCentra,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
"FSC Laboratories, Inc.",No,,ProCentra,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"FSC Laboratories, Inc.",No,,ProCentra,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
"FSC Laboratories, Inc.",No,,ProCentra,Other Service Providers|Specialist,disallowed
"FSC Laboratories, Inc.",No,,ProCentra,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
"FSC Laboratories, Inc.",No,AdenoPlus,,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
"FSC Laboratories, Inc.",No,AdenoPlus,,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,Pradaxa,Allopathic & Osteopathic Physicians|Internal Medicine|Clinical Cardiac Electrophysiology,disallowed
"FSC Laboratories, Inc.",No,,Primsol,Allopathic & Osteopathic Physicians|Pediatrics|Adolescent Medicine,disallowed
"Synergetics USA, Inc",No,Other,,"Student, Health Care|Student in an Organized Health Care Education/Training Program",disallowed
"Synergetics USA, Inc",No,Other,,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
"Synergetics USA, Inc",No,Forceps,,"Student, Health Care|Student in an Organized Health Care Education/Training Program",disallowed
"Ozark Cryosurgery, LLC",No,100000000000,,Allopathic & Osteopathic Physicians|Urology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,AGGRENOX,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"FSC Laboratories, Inc.",No,,ProCentra,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology with Special Qualifications in Child Neurology,disallowed
"FSC Laboratories, Inc.",No,,ProCentra,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Child & Adolescent Psychiatry,disallowed
"Synergetics USA, Inc",No,Other,,Other Service Providers|Specialist,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,Gilotrif,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,PRADAXA,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,disallowed
"FSC Laboratories, Inc.",No,AdenoPlus,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"FSC Laboratories, Inc.",No,AdenoPlus,,Allopathic & Osteopathic Physicians|General Practice,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,Aggrenox,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,Pradaxa,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,Pradaxa,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,PRADAXA,Allopathic & Osteopathic Physicians|Family Medicine|Geriatric Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,COMBIVENT RESPIMAT,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"FSC Laboratories, Inc.",No,,ProCentra,Allopathic & Osteopathic Physicians|Pediatrics|Developmental  Behavioral Pediatrics,disallowed
"FSC Laboratories, Inc.",No,,ProCentra,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,TRADJENTA,Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,PRADAXA,Allopathic & Osteopathic Physicians|General Practice,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,disallowed
Stryker Corporation,No,ORTHOBIOLOGICS,,Podiatric Medicine & Surgery Service Providers|Podiatrist|Primary Podiatric Medicine,disallowed
"FSC Laboratories, Inc.",No,AdenoPlus,,Allopathic & Osteopathic Physicians|Pediatrics|Adolescent Medicine,disallowed
Maquet Cardiopulmonary AG,No,Respiratory and Cardiac Support Systems,,,disallowed
Maquet Cardiopulmonary AG,No,On-Pump Cardiac Surgery,,Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery),disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|General Practice,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,TRADJENTA,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,,Allopathic & Osteopathic Physicians|Dermatology,disallowed
Stryker Corporation,No,NAVIGATION,,Allopathic & Osteopathic Physicians|Radiology|Radiation Oncology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,Tradjenta,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,Tradjenta,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Critical Care Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,PRADAXA,Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|Allergy & Immunology,disallowed
Stryker Corporation,No,JOINT PRESERVATION,,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Sports Medicine,disallowed
Stryker Corporation,No,New Product Development,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Reproductive Endocrinology,disallowed
"Ozark Cryosurgery, LLC",No,IceEdge-Rod Sphere Cryoablation Needles,,Other Service Providers|Specialist,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,AGGRENOX,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
Stryker Corporation,No,REPROCESSED NON-INVASIVE DEVICES,,Allopathic & Osteopathic Physicians|Surgery,disallowed
Stryker Corporation,No,CERVICAL,,Allopathic & Osteopathic Physicians|Anesthesiology|Pain Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,Pradaxa,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,Gilotrif,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"FSC Laboratories, Inc.",No,,ProCentra,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Emergency Medicine,disallowed
"FSC Laboratories, Inc.",No,,ProCentra,Allopathic & Osteopathic Physicians|Pediatrics|Adolescent Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
"Synergetics USA, Inc",No,Trocars,,Allopathic & Osteopathic Physicians|Ophthalmology,disallowed
"Synergetics USA, Inc",Yes,Other,,Allopathic & Osteopathic Physicians|Ophthalmology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,TRADJENTA,Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,TRADJENTA,Allopathic & Osteopathic Physicians|General Practice,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,PRADAXA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,Aggrenox,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,Aggrenox,Allopathic & Osteopathic Physicians|General Practice,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,PRADAXA,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,JENTADUETO,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,AGGRENOX,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,GILOTRIF,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,JENTADUETO,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,TRADJENTA,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,AGGRENOX,Allopathic & Osteopathic Physicians|General Practice,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|Family Medicine|Geriatric Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,GILOTRIF,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,AGGRENOX,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,,Allopathic & Osteopathic Physicians|Surgery,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,COMBIVENT RESPIMAT,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Clinical Cardiac Electrophysiology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,AGGRENOX,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery),disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|Family Medicine|Sports Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|Internal Medicine|Critical Care Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,TRADJENTA,Allopathic & Osteopathic Physicians|Family Medicine|Geriatric Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,PRADAXA,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,GILOTRIF,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,AGGRENOX,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,PRADAXA,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Podiatric Medicine & Surgery Service Providers|Podiatrist,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,,Allopathic & Osteopathic Physicians|General Practice,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,GILOTRIF,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,COMBIVENT RESPIMAT,Allopathic & Osteopathic Physicians|Surgery,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,PRADAXA,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,Pradaxa,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,AGGRENOX,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,,Allopathic & Osteopathic Physicians|Family Medicine|Geriatric Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,JENTADUETO,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Child & Adolescent Psychiatry,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,PRADAXA,Allopathic & Osteopathic Physicians|Family Medicine|Sports Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,COMBIVENT RESPIMAT,Allopathic & Osteopathic Physicians|Internal Medicine|Addiction Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,PRADAXA,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,COMBIVENT,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,SPIRIVA,Allopathic & Osteopathic Physicians|Surgery,disallowed
Stryker Corporation,No,COMMUNICATIONS,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,disallowed
Stryker Corporation,No,TRAUMA & EXTREMITIES,,Allopathic & Osteopathic Physicians|Family Medicine|Sports Medicine,disallowed
Stryker Corporation,No,REPROCESSED NON-INVASIVE DEVICES,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
Stryker Corporation,No,NEURO SPINE ENT,,Allopathic & Osteopathic Physicians|Otolaryngology|Otology & Neurotology,disallowed
Stryker Corporation,No,KNEES,,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
Stryker Corporation,No,BIOMATERIALS,,Allopathic & Osteopathic Physicians|Surgery|Surgical Oncology,disallowed
Stryker Corporation,No,ALLOGRAFTS,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
Stryker Corporation,No,INTERBODY DEVICE,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Pediatric Orthopaedic Surgery,disallowed
Stryker Corporation,No,BONE SUBSTITUTES BIOLOGICS,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Critical Care Medicine,disallowed
Stryker Corporation,No,TRAUMA & EXTREMITIES,,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Spinal Cord Injury Medicine,disallowed
Stryker Corporation,No,INTERBODY DEVICE,,Allopathic & Osteopathic Physicians|Surgery,disallowed
Stryker Corporation,No,MAXFACE,,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,disallowed
