Description,Belts,Personal.Injury,Property.Damage,Commercial.License,Commercial.Vehicle,State,VehicleType,Year,Make,Model,Color,Charge,Contributed.To.Accident,Race,Gender,Driver.City,Driver.State,DL.State,Arrest.Type,Violation.Type
DRIVING UNDER THE INFLUENCE OF ALCOHOL PER SE,No,No,No,No,No,MD,02 - Automobile,2004.0,BMW,2S,GRAY,21902a2,No,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUTOFSTATE LICENSE,No,No,No,No,No,VA,02 - Automobile,2006.0,CHEVROLET,EXPRESS,WHITE,16303f,No,HISPANIC,M,ARLINGTON,VA,VA,A - Marked Patrol,Citation
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,MD,02 - Automobile,2000.0,VOLV,S 70,SILVER,2111242d2,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVING WHILE IMPAIRED BY ALCOHOL,No,No,No,No,No,MD,02 - Automobile,2011.0,CHEVY,MALIBU,GRAY,21902b1,No,BLACK,M,WALDORF,MD,MD,A - Marked Patrol,Citation
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,No,Yes,No,No,No,MD,02 - Automobile,2013.0,TOYOTA,CAMRY,BLACK,21801b,Yes,WHITE,F,GAITHERSBURG,MD,MD,B - Unmarked Patrol,Citation
EXCEEDING MAXIMUM SPEED 51 MPH IN A POSTED 30 MPH ZONE,No,No,No,No,No,MD,05 - Light Duty Truck,2008.0,HOND,TK,SILVER,218011,No,WHITE,M,OLNEY,MD,MD,Q - Marked Laser,Citation
DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,No,No,No,No,No,MD,02 - Automobile,2012.0,VOLKSWAGON,PASSAT,SILVER,21402a,Yes,BLACK,M,CHEVY CHASE,MD,MD,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 54 MPH IN A POSTED 40 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2006.0,NISS,TK,SILVER,218011,No,OTHER,M,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,No,No,No,No,No,MD,02 - Automobile,2010.0,KIA,OPTIMA,GRAY,16116a,No,BLACK,F,FARMINGTON HILLS,MI,MI,A - Marked Patrol,Citation
DRIVER PASSING VEH STOPPED FOR PEDESTRIAN AT CROSSWALK,No,No,No,No,No,MD,02 - Automobile,2006.0,ACURA,TL,GRAY,21502c,No,HISPANIC,M,GAITHERSBURG,MD,MD,B - Unmarked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,No,No,No,No,No,MD,02 - Automobile,1994.0,FORD,ESCORT,WHITE,16303h,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,No,No,No,Yes,No,MD,02 - Automobile,2015.0,INTL,BOX TRUCK,BLUE DARK,16303h,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
DRIVING MOTOR VEH WHILE LIC SUSPENDED UNDER 26206,No,No,No,No,No,MD,05 - Light Duty Truck,2008.0,MAZDA,TK,PURPLE,16303h,No,BLACK,F,INDIAN HEAD,MD,MD,Q - Marked Laser,Citation
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17106 26204 26206 27103,No,No,No,No,No,MD,19 - Moped,2007.0,HONDA,UNK,BLACK,16303h,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,2002.0,CADI,SUV,BLACK,16112c,No,BLACK,M,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,MD,02 - Automobile,2007.0,FORD,SUV,MAROON,2111242d2,No,WHITE,M,POOLESVILLE,MD,MD,O - Foot Patrol,Citation
EXCEEDING MAXIMUM SPEED 56 MPH IN A POSTED 35 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2003.0,FORD,EXPEDITION,RED,218011,No,WHITE,F,MONTGOMERY VILLAGE,MD,MD,Q - Marked Laser,Citation
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,No,No,No,No,No,MD,02 - Automobile,2009.0,TOYT,COROLLA,WHITE,21902a1,No,WHITE,F,CLARKSBURG,MD,MD,A - Marked Patrol,Citation
DRIVING WHILE IMPAIRED BY ALCOHOL,No,No,No,No,No,MD,02 - Automobile,1997.0,TOYT,4S,GRAY,21902b1,No,HISPANIC,M,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
PEDESTRIAN CROSSING ROADWAY BETWEEN ADJACENT INTERSECTIONS HAVING TRAFFIC CONTROL SIGNAL,No,No,No,No,No,XX,29 - Unknown,,,,,21503c,No,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106,No,No,No,No,No,MD,02 - Automobile,1999.0,AUDI,A4,BLUE,16303h,No,BLACK,M,LAUREL,MD,GA,A - Marked Patrol,Citation
PERMITTING VEH TO BE DRIVEN ON HWY WO CURRENT REGISTRATION VALIDATION TABS ISSUED BY ADM,No,No,No,No,No,MD,02 - Automobile,1993.0,CHEV,TK,BLUE,13411e,No,WHITE,F,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL PER SE,No,No,No,No,No,MD,05 - Light Duty Truck,2013.0,TOYT,HIGHLANDER,WHITE,21902a1ii,No,BLACK,M,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,02 - Automobile,2001.0,TOYOTA,AVALON,SILVER,16303c,No,BLACK,F,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,MD,02 - Automobile,2003.0,CHEV,TK,GRAY,2111242d2,No,HISPANIC,F,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,2011.0,HONDA,PILOT,GRAY,13401h,No,WHITE,F,WASHINGTON,DC,DC,A - Marked Patrol,Citation
OPER MOTOR VEH WITH OPERATOR NOT RESTRAINED BY SEAT BELT,No,No,No,No,No,MD,06 - Heavy Duty Truck,1988.0,INTL,DS LG ST TK,WHITE,224123b,No,HISPANIC,M,BRENTWOOD,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,02 - Automobile,2007.0,VOLVO,SW,WHITE,16303c,No,BLACK,M,DAMASCUS,MD,MD,A - Marked Patrol,Citation
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,No,No,No,No,No,MD,02 - Automobile,2005.0,CHEV,TRAILBLAZER,GRAY,21801b,Yes,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,TX,02 - Automobile,2009.0,TOYOTA,COROLLA,BLUE,16112c,No,BLACK,F,CYPRESS,TX,TX,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 49 MPH IN A POSTED 40 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2001.0,HOND,VN,SILVER,218011,No,ASIAN,M,GAITHERSBURG,MD,MD,Q - Marked Laser,Citation
OPER MOTOR VEH WITH OPERATOR NOT RESTRAINED BY SEAT BELT,No,No,No,No,No,MD,02 - Automobile,2007.0,MERZ,SL550,SILVER,224123b,No,WHITE,M,KENSINGTON,MD,MD,Q - Marked Laser,Citation
DRIVER FAILURE TO STOP AT STOP SIGN LINE,No,No,No,No,No,MD,02 - Automobile,2001.0,ISUZ,RODEO,SILVER,21707a,No,HISPANIC,F,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,No,No,No,No,No,MD,02 - Automobile,2001.0,HONDA,ACCORD,TAN,21801b,Yes,WHITE,M,MONROVIA,MD,MD,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 45 MPH IN A POSTED 30 MPH ZONE,Yes,No,No,No,No,MD,02 - Automobile,2011.0,TOYT,HY,RED,218011,No,WHITE,M,GERMANTOWN,MD,MD,Q - Marked Laser,Citation
OPERATOR NOT RESTRAINED BY SEATBELT,No,No,No,No,No,MD,02 - Automobile,2011.0,GMC,SUV,BLACK,224123b,No,BLACK,F,ADELPHI,MD,MD,O - Foot Patrol,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,2013.0,CHEVY,SONIC,WHITE,13401h,No,BLACK,F,GERMANTOWN,MD,MD,S - License Plate Recognition,Citation
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,2005.0,CHRYSLER,PT CRUISER,WHITE,16101a1,No,HISPANIC,M,ALEXANDRIA,VA,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,20 - Commercial Rig,2012.0,HUZH,MOPED,WHITE,16303c,No,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,VA,02 - Automobile,2007.0,VOLVO,XC70,SILVER,13409b,No,WHITE,M,CHINCOTEAGUE,VA,VA,B - Unmarked Patrol,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,VA,02 - Automobile,2009.0,TOYOTA,COROLLA,BLUE,21201a1,No,HISPANIC,M,HYATTSVILLE,MD,MD,A - Marked Patrol,Citation
FAILURE TO PROPERLY EQUIP LOCATE HEADLAMPS ON MOTOR VEH,No,No,No,No,No,MD,02 - Automobile,2005.0,FORD,F150,GRAY,22203b,No,BLACK,M,SILVER SPRING,MD,DC,A - Marked Patrol,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,2000.0,FORD,FOCUS,BEIGE,13401h,No,ASIAN,F,CHEVY CHASE,MD,MD,A - Marked Patrol,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,NY,02 - Automobile,2009.0,JEEP,LAREDO,SILVER,21201a1,No,WHITE,M,HUNTINGTON,NY,NY,B - Unmarked Patrol,Citation
DRIVER CHANGING LANES WHEN UNSAFE,No,Yes,No,No,No,MD,02 - Automobile,2006.0,HONDA,ACCORD,SILVER,21309b,Yes,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2011.0,TOYOTA,COROLLA,GRAY,13409b,No,BLACK,M,MONTGOMERY VILLAGE,MD,MD,Q - Marked Laser,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,02 - Automobile,2008.0,TOYOTA,COROLLA,TAN,16303c,No,HISPANIC,M,HYATTSVILLE,MD,MD,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,No,No,No,No,No,MD,03 - Station Wagon,2009.0,CHEV,SU,BLACK,218011,No,WHITE,F,FREDERICK,MD,MD,Q - Marked Laser,Citation
DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALKNOT CONTRIBUTING TO ACCIDENT,No,No,No,No,No,MD,02 - Automobile,2007.0,MINI,COOPER,WHITE,21502a2,No,WHITE,M,GERMANTOWN,MD,MD,B - Unmarked Patrol,Citation
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,No,No,No,No,No,MD,02 - Automobile,2005.0,HONDA,ACCORD,WHITE,21902a1,No,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,Citation
DRIVER PASSING VEH STOPPED FOR PEDESTRIAN AT CROSSWALK,No,No,No,No,No,MD,02 - Automobile,1999.0,HONDA,ACCORD,GREEN DK,21502c,Yes,ASIAN,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUTOFSTATE LICENSE,No,No,No,No,No,FL,02 - Automobile,2009.0,GMC,YUKON,BLACK,16303f,No,WHITE,M,JUPITER,FL,FL,A - Marked Patrol,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2012.0,VOLKSWAGON,JETTA,SILVER,21201a1,No,BLACK,M,SUITLAND,MD,MD,A - Marked Patrol,Citation
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,2004.0,FORD,E150,WHITE,16101a,No,HISPANIC,M,HAGERSTOWN,MD,MD,A - Marked Patrol,Citation
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,No,Yes,No,No,No,MD,02 - Automobile,2016.0,NISSAN,SENTRA,SILVER,21801b,Yes,BLACK,F,BURTONSVILLE,MD,MD,A - Marked Patrol,Citation
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,No,No,No,No,No,MD,02 - Automobile,1987.0,PORSCHE,COOP,BLACK,13401h,No,WHITE,M,BETHESDA,MD,MD,A - Marked Patrol,Citation
ATTEMPTING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,2003.0,DODGE,STRATUS,SILVER,16101a,No,BLACK,F,FREDERICK,MD,MD,A - Marked Patrol,Citation
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,No,No,No,No,No,MD,02 - Automobile,2010.0,HYUNDAI,SONATA,GREEN LGT,2111242d2,No,WHITE,F,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2004.0,HYUNDAI,XG35OL,SILVER,13409b,No,ASIAN,M,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2001.0,MERCEDES,E320,RED,13409b,No,WHITE,M,CHEVY CHASE,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED OUTOFSTATE LICENSE,No,No,No,No,No,MD,02 - Automobile,2013.0,NISSAN,ROGUE,SILVER,16303g,No,HISPANIC,M,ALEXANDRIA,VA,VA,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,02 - Automobile,2012.0,FORD,F150 TK,BLACK,16303c,No,BLACK,M,WASHINGTON,DC,DC,A - Marked Patrol,Citation
DISPLAYING REG PLATE ISSUED TO OTHER PERSON,No,No,No,No,No,MD,02 - Automobile,2005.0,JAGU,STYPE,SILVER,13411g,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
FAIL OF DRIVER IN ATTEND VEH ACCIDENT TO FURNISH REQ ID LIC,Yes,No,Yes,No,No,MD,02 - Automobile,2010.0,LINCOLN,MKT,WHITE,20104b,Yes,OTHER,F,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,2017.0,SUBARU,OUTBACK,GRAY,16101a,No,OTHER,M,GAITHERSBURG,MD,MD,B - Unmarked Patrol,Citation
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,No,No,No,No,No,MD,02 - Automobile,2001.0,TOYT,TUNDRA,BLACK,13411d,No,WHITE,M,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,02 - Automobile,2014.0,NISS,4S,SILVER,16303c,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,NJ,02 - Automobile,2014.0,MERZ,E350,GRAY,16101a,No,HISPANIC,M,BRONX,NY,NY,A - Marked Patrol,Citation
DRIVING WHILE IMPAIRED BY ALCOHOL,No,No,No,No,No,MD,02 - Automobile,2008.0,NISS,ALTIMA,WHITE,21902b1,No,BLACK,M,BOWIE,MD,MD,A - Marked Patrol,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,05 - Light Duty Truck,2006.0,DODG,VAN,BLUE,16112c,No,BLACK,F,GERMANTOWN,MD,MD,Q - Marked Laser,Citation
DRIVER FAILURE TO STOP AT STOP SIGN LINE,No,No,No,No,No,MD,02 - Automobile,2012.0,NISSAN,4D,BLUE LIGHT,21707a,No,BLACK,F,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 26204,No,No,No,No,No,MD,02 - Automobile,2012.0,TOYOTA,YARIS,RED,16303h,No,BLACK,M,OXON HILL,MD,MD,A - Marked Patrol,Citation
DRIVER FAILURE TO STOP AT STOP SIGN LINE,No,No,No,No,No,MD,02 - Automobile,2003.0,DODGE,GRAND CARAVAN,SILVER,21707a,No,WHITE,M,ROCKVILLE,MD,MD,M - Marked (Off-Duty),Citation
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,Yes,No,No,No,No,MD,02 - Automobile,1992.0,TOYOTA,CELICA,RED,16303h,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL PER SE,No,No,No,Yes,No,FL,02 - Automobile,2008.0,TOYT,COR,WHITE,21902a1ii,No,WHITE,F,ROCKVILLE,MD,FL,A - Marked Patrol,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,WI,02 - Automobile,2015.0,NISSAN,SENTRA,GRAY,13409b,No,BLACK,F,SILVER SPRING,MD,WI,A - Marked Patrol,Citation
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,No,No,No,No,No,MA,02 - Automobile,2004.0,HONDA,CIVIC,GRAY,13401b1,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2010.0,HYUN,4S,RED,21201a1,No,BLACK,F,BOWIE,MD,MD,A - Marked Patrol,Citation
DRIVER CHANGING LANES WHEN UNSAFE,No,No,No,No,No,MD,02 - Automobile,2000.0,GMC,SUV,RED,21309b,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,No,No,No,No,No,MD,02 - Automobile,2006.0,NISSAN,ALTIMA 4S,BLACK,16116a,No,OTHER,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,No,No,No,No,No,MD,02 - Automobile,2010.0,SUBARU,FORRESTER,SILVER,21402a,No,WHITE,F,DAMASCUS,MD,MD,A - Marked Patrol,Citation
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,No,No,No,No,No,MD,02 - Automobile,2009.0,TOYOTA,CAMRY,SILVER,13411d,No,OTHER,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,1999.0,FORD,TK,RED,13409b,No,WHITE,M,ROCKVILLE,MA,MA,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 42 MPH IN A POSTED 25 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2008.0,BMW,328,BLUE DARK,218011,No,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,No,No,No,No,No,MD,02 - Automobile,2007.0,NISS,350Z,WHITE,13411d,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,1998.0,MERCEDES,S420,BLACK,21201a1,No,WHITE,F,KENSINGTON,MD,MD,A - Marked Patrol,Citation
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,No,No,Yes,No,No,MD,02 - Automobile,2003.0,TOYOTA,COROLLA,BLUE,16303h,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,No,No,Yes,No,No,MD,02 - Automobile,2004.0,SCION,XA,SILVER,21310a,No,BLACK,M,SILVER SPRING,MD,DC,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 44 MPH IN A POSTED 35 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,2011.0,LINC,4S,BLACK,218011,No,OTHER,M,SILVER SPRING,MD,MD,Q - Marked Laser,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,02 - Automobile,2001.0,DODGE,CARAVAN,SILVER,16303c,No,WHITE,F,GAITHERSBURG,MD,MD,Q - Marked Laser,Citation
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,No,No,No,No,No,MD,02 - Automobile,2007.0,TOYOTA,CAMRY,GRAY,16303c,No,BLACK,M,BURTONSVILLE,MD,MD,A - Marked Patrol,Citation
FAILURE YIELD RIGHT OF WAY ON LEFT TURN,No,No,Yes,No,No,MD,02 - Automobile,2012.0,FORD,4S,GRAY,21402a,No,HISPANIC,F,GAITHERSBURG,MD,MD,A - Marked Patrol,Citation
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,No,No,No,No,No,MD,02 - Automobile,2003.0,FORD,TAURUS,TAN,21201a1,No,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,No,No,No,No,No,MD,02 - Automobile,2005.0,ACURA,TL,RED,16101a1,No,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,Citation
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,No,No,No,No,No,MD,02 - Automobile,2015.0,DODGE,CHARGER,RED,16112c,No,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,Citation
DRIVER FAIL TO STOP AT STEADY RED ARROW SIGNAL,No,No,No,No,No,NJ,02 - Automobile,2009.0,TOYOTA,4DR,,21202h2,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,Citation
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,No,No,No,No,No,TN,02 - Automobile,2004.0,NISSAN,ALTIMA,GOLD,13411a,No,BLACK,M,RIVERDALE,MD,MD,A - Marked Patrol,Citation
EXCEEDING MAXIMUM SPEED 60 MPH IN A POSTED 40 MPH ZONE,No,No,No,No,No,MD,02 - Automobile,1997.0,FORD,TK,WHITE,218011,No,WHITE,M,BETHESDA,MD,MD,A - Marked Patrol,Citation
DRIVING MOTOR VEH WHILE LIC SUSPENDED IN OTHER STATE FOR FAILURE TO APPEARFAILURE TO PAY FINE,No,No,No,Yes,No,MD,06 - Heavy Duty Truck,2004.0,KW,TK,RED,16303i,No,BLACK,M,JESSUP,MD,MD,Q - Marked Laser,Citation
FAILURE VEH TO YIELD INTERSECTION RIGHTOFWAY TO ANOTHER VEH,No,No,No,No,No,MD,02 - Automobile,2006.0,JAGUAR,STYLE,SILVER,21401,No,BLACK,M,BURTONSVILLE,MD,MD,A - Marked Patrol,Citation
RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,No,No,No,No,No,MD,02 - Automobile,2006.0,BENT,CONTINENTAL,RED,219011a,No,BLACK,M,BROOKEVILLE,MD,MD,A - Marked Patrol,Citation
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,No,No,No,No,No,MD,02 - Automobile,2016.0,FORD,EXPLORER,SILVER,219011b,No,BLACK,M,LANHAM,MD,MD,A - Marked Patrol,Citation
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,No,No,No,No,No,MD,02 - Automobile,2009.0,GMC,SIERRA,WHITE,13409b,No,WHITE,M,DAMASCUS,MD,MD,A - Marked Patrol,Citation
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,No,No,No,No,No,MD,02 - Automobile,2014.0,FORD,MUSTANG,BLACK,21202h1,No,OTHER,M,SILVER SPRING,MD,XX,A - Marked Patrol,Citation
