age,height,body_type,drinks,drugs,education,ethnicity,location,orientation,sex,sign,smokes,status,class,
32,66,average,socially,never,working on two-year college,hispanic / latin,"emeryville, california",straight,m,sagittarius but it doesn&rsquo,t matter,no,single,non_stem
51,72,athletic,rarely,never,graduated from masters program,other,"oakland, california",straight,m,capricorn,no,single,non_stem,
41,68,athletic,socially,sometimes,graduated from college/university,white,"oakland, california",straight,f,virgo but it doesn&rsquo,t matter,no,available,non_stem
31,75,average,socially,never,graduated from college/university,white,"san rafael, california",straight,m,virgo but it doesn&rsquo,t matter,no,single,non_stem
42,69,curvy,not at all,sometimes,dropped out of college/university,white,"san francisco, california",straight,f,taurus,no,single,non_stem,
36,69,fit,socially,never,graduated from college/university,white,"emeryville, california",straight,m,cancer,no,single,non_stem,
28,62,athletic,socially,never,graduated from law school,indian,"san francisco, california",straight,f,libra,no,single,non_stem,
30,68,thin,rarely,never,graduated from college/university,black,"oakland, california",straight,m,cancer and it matters a lot,no,single,non_stem,
26,69,fit,not at all,never,dropped out of college/university,white,"oakland, california",straight,m,virgo,no,single,non_stem,
34,64,thin,rarely,sometimes,dropped out of ph.d program,"asian, white","san francisco, california",straight,f,taurus and it&rsquo,s fun to think about,no,single,non_stem
31,66,fit,often,sometimes,graduated from college/university,asian,"san francisco, california",gay,f,virgo and it&rsquo,s fun to think about,no,available,non_stem
45,66,thin,not at all,never,graduated from college/university,white,"san francisco, california",straight,f,virgo,no,single,non_stem,
52,71,fit,socially,never,graduated from college/university,black,"belvedere tiburon, california",straight,m,leo but it doesn&rsquo,t matter,no,single,non_stem
45,67,fit,socially,never,dropped out of college/university,white,"san francisco, california",straight,m,gemini and it&rsquo,s fun to think about,no,single,non_stem
37,72,average,not at all,never,dropped out of college/university,white,"san francisco, california",straight,m,pisces and it&rsquo,s fun to think about,no,single,non_stem
20,71,fit,often,often,working on college/university,white,"san francisco, california",straight,m,libra,yes,single,non_stem,
27,71,jacked,socially,never,graduated from college/university,"hispanic / latin, white","hayward, california",straight,m,pisces and it&rsquo,s fun to think about,no,single,non_stem
35,65,average,socially,never,working on college/university,white,"vallejo, california",straight,f,virgo but it doesn&rsquo,t matter,no,single,non_stem
42,68,curvy,rarely,never,dropped out of space camp,white,"san francisco, california",straight,f,virgo and it&rsquo,s fun to think about,trying to quit,single,non_stem
26,68,a little extra,rarely,sometimes,graduated from space camp,white,"pleasant hill, california",straight,m,gemini,yes,single,non_stem,
32,70,average,socially,never,graduated from college/university,white,"san francisco, california",gay,m,capricorn and it&rsquo,s fun to think about,no,seeing someone,non_stem
35,71,athletic,often,never,graduated from college/university,asian,"san francisco, california",straight,m,pisces and it&rsquo,s fun to think about,no,single,non_stem
29,76,athletic,rarely,sometimes,graduated from college/university,white,"emeryville, california",straight,m,aries and it&rsquo,s fun to think about,no,available,non_stem
22,68,fit,rarely,never,graduated from two-year college,"hispanic / latin, white","san francisco, california",gay,m,capricorn and it matters a lot,no,seeing someone,non_stem,
66,63,average,socially,never,two-year college,white,"san leandro, california",straight,f,taurus and it&rsquo,s fun to think about,no,single,non_stem
28,67,fit,socially,never,graduated from two-year college,"asian, white","san francisco, california",straight,m,sagittarius and it&rsquo,s fun to think about,trying to quit,single,non_stem
44,66,average,rarely,never,graduated from masters program,white,"san lorenzo, california",bisexual,f,capricorn but it doesn&rsquo,t matter,no,available,non_stem
24,67,athletic,socially,never,graduated from college/university,white,"san francisco, california",straight,f,virgo,no,single,non_stem,
34,64,curvy,rarely,never,graduated from college/university,black,"san francisco, california",straight,f,aquarius,no,single,non_stem,
27,69,fit,often,sometimes,graduated from college/university,white,"san francisco, california",straight,f,virgo,sometimes,single,non_stem,
50,69,athletic,often,never,graduated from college/university,white,"daly city, california",straight,f,aries and it&rsquo,s fun to think about,no,single,non_stem
23,66,average,not at all,never,working on college/university,asian,"orinda, california",bisexual,f,aries,no,single,non_stem,
27,62,curvy,socially,sometimes,graduated from college/university,"hispanic / latin, white","san francisco, california",straight,f,gemini and it&rsquo,s fun to think about,no,single,non_stem
23,71,average,often,never,graduated from college/university,asian,"san francisco, california",straight,m,taurus,trying to quit,single,non_stem,
26,63,curvy,socially,never,working on masters program,black,"oakland, california",bisexual,f,taurus and it&rsquo,s fun to think about,no,single,non_stem
43,68,fit,socially,never,graduated from masters program,white,"san francisco, california",straight,m,gemini,no,single,non_stem,
37,68,average,socially,never,working on two-year college,"pacific islander, hispanic / latin","oakland, california",straight,m,virgo and it&rsquo,s fun to think about,no,single,non_stem
21,67,a little extra,often,never,working on college/university,white,"san francisco, california",straight,f,aries and it&rsquo,s fun to think about,no,single,non_stem
36,65,thin,not at all,never,graduated from masters program,asian,"san francisco, california",straight,f,libra,no,available,non_stem,
24,64,curvy,socially,sometimes,graduated from masters program,white,"granite bay, california",straight,f,sagittarius and it&rsquo,s fun to think about,no,single,non_stem
25,63,rather not say,socially,never,graduated from two-year college,asian,"san francisco, california",straight,f,aries but it doesn&rsquo,t matter,no,single,non_stem
30,69,athletic,socially,never,graduated from space camp,"asian, white","el cerrito, california",straight,m,sagittarius and it&rsquo,s fun to think about,no,single,non_stem
29,66,a little extra,not at all,never,working on college/university,"native american, white","oakland, california",gay,m,pisces and it&rsquo,s fun to think about,no,single,non_stem
29,71,skinny,socially,never,graduated from college/university,white,"san francisco, california",straight,m,virgo but it doesn&rsquo,t matter,no,seeing someone,non_stem
38,67,average,socially,sometimes,graduated from masters program,white,"san francisco, california",straight,m,libra and it&rsquo,s fun to think about,no,single,non_stem
30,68,a little extra,socially,never,dropped out of two-year college,hispanic / latin,"redwood city, california",straight,m,aquarius but it doesn&rsquo,t matter,no,single,non_stem
34,63,fit,rarely,never,dropped out of college/university,asian,"san francisco, california",straight,f,libra,no,single,non_stem,
27,70,skinny,socially,never,working on masters program,white,"berkeley, california",gay,m,libra and it&rsquo,s fun to think about,no,single,non_stem
28,67,fit,socially,never,masters program,asian,"oakland, california",gay,m,gemini,no,single,non_stem,
27,70,thin,socially,never,graduated from college/university,white,"san francisco, california",straight,f,scorpio,no,single,non_stem,
32,69,athletic,socially,never,graduated from law school,"hispanic / latin, white","san francisco, california",straight,m,aquarius but it doesn&rsquo,t matter,no,single,non_stem
24,73,average,socially,never,working on college/university,white,"oakland, california",straight,m,aries and it&rsquo,s fun to think about,trying to quit,single,non_stem
40,64,athletic,socially,never,graduated from masters program,asian,"san francisco, california",straight,f,aries,no,single,non_stem,
35,63,athletic,socially,never,graduated from college/university,white,"san francisco, california",gay,f,gemini and it&rsquo,s fun to think about,no,single,non_stem
33,62,fit,socially,never,graduated from college/university,"hispanic / latin, white","san francisco, california",straight,f,scorpio,no,single,non_stem,
25,73,skinny,socially,never,working on college/university,white,"redwood city, california",straight,m,virgo and it&rsquo,s fun to think about,yes,single,non_stem
27,65,curvy,often,never,graduated from masters program,white,"san francisco, california",straight,f,aquarius and it&rsquo,s fun to think about,no,single,non_stem
22,65,thin,socially,never,graduated from college/university,white,"san francisco, california",straight,f,aquarius but it doesn&rsquo,t matter,no,single,non_stem
29,67,athletic,socially,never,working on college/university,white,"oakland, california",straight,m,leo and it&rsquo,s fun to think about,when drinking,single,non_stem
46,59,a little extra,socially,never,graduated from college/university,asian,"burlingame, california",straight,f,scorpio and it&rsquo,s fun to think about,when drinking,single,non_stem
47,71,athletic,socially,never,graduated from college/university,"black, native american, white","san francisco, california",straight,m,capricorn,no,single,non_stem,
43,64,fit,often,never,graduated from masters program,white,"san francisco, california",straight,f,pisces but it doesn&rsquo,t matter,no,single,non_stem
26,71,athletic,very often,never,working on college/university,white,"san francisco, california",straight,m,aquarius and it&rsquo,s fun to think about,no,single,non_stem
45,73,fit,socially,never,graduated from college/university,white,"san rafael, california",straight,m,gemini but it doesn&rsquo,t matter,no,single,non_stem
29,69,full figured,often,never,dropped out of college/university,black,"san francisco, california",straight,f,cancer but it doesn&rsquo,t matter,yes,single,non_stem
39,67,a little extra,rarely,sometimes,dropped out of college/university,pacific islander,"pacifica, california",straight,m,taurus and it&rsquo,s fun to think about,no,available,non_stem
59,60,curvy,rarely,never,graduated from high school,other,"san rafael, california",straight,f,virgo and it matters a lot,no,single,non_stem,
42,67,average,rarely,never,graduated from masters program,other,"berkeley, california",gay,f,capricorn but it doesn&rsquo,t matter,no,single,non_stem
33,66,athletic,socially,never,graduated from med school,indian,"san francisco, california",straight,m,leo but it doesn&rsquo,t matter,no,single,non_stem
29,68,average,socially,never,graduated from college/university,white,"san francisco, california",straight,f,cancer and it&rsquo,s fun to think about,no,single,non_stem
41,75,athletic,socially,never,graduated from college/university,white,"san francisco, california",straight,m,aquarius,no,single,non_stem,
33,68,average,not at all,never,working on college/university,white,"pacifica, california",straight,m,taurus and it&rsquo,s fun to think about,no,single,non_stem
25,62,curvy,socially,never,graduated from college/university,white,"oakland, california",straight,f,aquarius and it matters a lot,no,single,non_stem,
25,68,a little extra,socially,sometimes,working on ph.d program,white,"berkeley, california",straight,m,taurus but it doesn&rsquo,t matter,no,single,non_stem
30,69,thin,socially,never,graduated from med school,asian,"san francisco, california",straight,m,libra and it&rsquo,s fun to think about,no,single,non_stem
53,63,average,not at all,never,graduated from college/university,"black, hispanic / latin","richmond, california",straight,f,scorpio,no,single,non_stem,
44,62,a little extra,not at all,never,graduated from masters program,white,"el granada, california",straight,f,gemini and it&rsquo,s fun to think about,sometimes,single,non_stem
25,70,athletic,socially,never,graduated from college/university,white,"san francisco, california",straight,f,sagittarius,no,single,non_stem,
55,71,fit,socially,never,graduated from masters program,white,"menlo park, california",straight,m,sagittarius but it doesn&rsquo,t matter,no,single,non_stem
32,61,thin,socially,never,college/university,asian,"san leandro, california",straight,f,taurus,no,single,non_stem,
42,62,average,socially,never,graduated from college/university,white,"san francisco, california",straight,f,sagittarius and it&rsquo,s fun to think about,no,single,non_stem
51,74,athletic,not at all,never,graduated from masters program,white,"san francisco, california",gay,m,pisces but it doesn&rsquo,t matter,no,single,non_stem
36,67,full figured,socially,never,graduated from college/university,white,"martinez, california",straight,f,aries and it&rsquo,s fun to think about,no,single,non_stem
25,66,curvy,socially,never,working on college/university,black,"san francisco, california",straight,f,cancer but it doesn&rsquo,t matter,no,single,non_stem
53,66,athletic,very often,never,graduated from college/university,white,"port costa, california",straight,f,sagittarius but it doesn&rsquo,t matter,no,single,non_stem
25,70,curvy,socially,sometimes,graduated from masters program,white,"san francisco, california",bisexual,f,cancer but it doesn&rsquo,t matter,no,single,non_stem
26,66,fit,socially,never,graduated from college/university,white,"san francisco, california",straight,f,aquarius and it&rsquo,s fun to think about,no,single,non_stem
27,65,average,socially,never,graduated from two-year college,white,"san francisco, california",straight,f,gemini and it&rsquo,s fun to think about,no,single,non_stem
22,72,fit,socially,never,working on two-year college,black,"san francisco, california",straight,m,scorpio and it&rsquo,s fun to think about,no,single,non_stem
30,72,average,socially,often,graduated from college/university,"hispanic / latin, white","oakland, california",straight,m,gemini and it&rsquo,s fun to think about,no,single,non_stem
32,72,skinny,rarely,never,graduated from masters program,"asian, pacific islander","san francisco, california",gay,m,aries and it&rsquo,s fun to think about,no,single,non_stem
25,67,athletic,socially,sometimes,graduated from college/university,other,"san francisco, california",straight,m,aquarius and it&rsquo,s fun to think about,no,single,non_stem
27,72,fit,socially,sometimes,graduated from college/university,white,"san francisco, california",straight,m,sagittarius,no,single,non_stem,
31,70,full figured,socially,never,graduated from college/university,"black, hispanic / latin, white","san francisco, california",straight,f,leo and it&rsquo,s fun to think about,no,single,non_stem
22,64,fit,not at all,never,working on college/university,"middle eastern, white","san francisco, california",straight,f,aquarius and it&rsquo,s fun to think about,no,single,non_stem
50,75,average,socially,never,graduated from ph.d program,white,"berkeley, california",straight,m,pisces and it&rsquo,s fun to think about,no,married,non_stem
37,73,fit,socially,never,graduated from college/university,white,"san francisco, california",gay,m,pisces and it&rsquo,s fun to think about,no,single,non_stem
49,62,curvy,socially,never,graduated from college/university,white,"oakland, california",straight,f,sagittarius but it doesn&rsquo,t matter,no,single,non_stem
28,65,athletic,rarely,never,graduated from law school,"white, other","san francisco, california",bisexual,f,aquarius but it doesn&rsquo,t matter,no,single,non_stem
45,62,average,socially,never,graduated from college/university,white,"larkspur, california",straight,f,scorpio and it&rsquo,s fun to think about,no,single,non_stem
49,63,thin,socially,never,graduated from high school,hispanic / latin,"walnut creek, california",straight,f,capricorn but it doesn&rsquo,t matter,no,single,non_stem
48,75,fit,socially,never,graduated from college/university,white,"san francisco, california",straight,m,aquarius but it doesn&rsquo,t matter,no,single,non_stem
25,75,athletic,socially,never,graduated from college/university,white,"san francisco, california",straight,m,aquarius and it&rsquo,s fun to think about,no,single,non_stem
32,72,average,socially,never,dropped out of space camp,asian,"san francisco, california",straight,m,gemini,no,single,non_stem,
36,67,athletic,socially,never,graduated from college/university,white,"san francisco, california",bisexual,f,capricorn and it&rsquo,s fun to think about,no,single,non_stem
32,70,a little extra,socially,never,graduated from college/university,white,"san francisco, california",straight,m,leo but it doesn&rsquo,t matter,no,single,non_stem
40,62,athletic,socially,never,graduated from college/university,white,"fairfax, california",straight,f,virgo and it&rsquo,s fun to think about,no,single,non_stem
52,70,fit,socially,never,graduated from college/university,white,"millbrae, california",straight,m,aquarius and it&rsquo,s fun to think about,no,single,non_stem
50,68,curvy,not at all,never,college/university,black,"san francisco, california",straight,f,aquarius,no,single,non_stem,
38,74,average,rarely,never,graduated from college/university,white,"oakland, california",gay,m,virgo but it doesn&rsquo,t matter,no,single,non_stem
33,65,athletic,socially,never,graduated from college/university,"hispanic / latin, other","san francisco, california",straight,m,scorpio but it doesn&rsquo,t matter,no,single,non_stem
39,74,thin,socially,sometimes,graduated from college/university,white,"san francisco, california",gay,m,aries but it doesn&rsquo,t matter,no,single,non_stem
41,72,average,not at all,never,graduated from college/university,asian,"hayward, california",straight,m,leo but it doesn&rsquo,t matter,no,single,non_stem
43,72,average,socially,never,graduated from college/university,white,"san francisco, california",straight,m,sagittarius but it doesn&rsquo,t matter,no,single,non_stem
29,74,average,socially,sometimes,graduated from college/university,"hispanic / latin, white","san francisco, california",straight,m,cancer but it doesn&rsquo,t matter,when drinking,single,non_stem
54,67,fit,socially,never,graduated from college/university,white,"san anselmo, california",straight,f,gemini,no,single,non_stem,
26,65,average,socially,never,dropped out of space camp,white,"san francisco, california",straight,m,aquarius but it doesn&rsquo,t matter,no,single,non_stem
28,72,athletic,socially,never,graduated from college/university,white,"san francisco, california",straight,m,sagittarius and it&rsquo,s fun to think about,no,single,non_stem
37,69,fit,socially,never,graduated from masters program,white,"san francisco, california",straight,m,virgo but it doesn&rsquo,t matter,no,single,non_stem
29,68,athletic,socially,never,graduated from masters program,white,"menlo park, california",straight,f,gemini,no,single,non_stem,
48,68,average,often,never,graduated from college/university,white,"oakland, california",straight,f,gemini,no,single,non_stem,
29,77,thin,socially,never,graduated from masters program,white,"san francisco, california",straight,m,virgo but it doesn&rsquo,t matter,no,single,non_stem
29,67,curvy,socially,sometimes,graduated from college/university,white,"san francisco, california",bisexual,f,aquarius but it doesn&rsquo,t matter,no,single,non_stem
40,68,athletic,socially,never,graduated from college/university,"middle eastern, white","san francisco, california",gay,m,aquarius but it doesn&rsquo,t matter,no,single,non_stem
29,72,athletic,socially,never,graduated from masters program,white,"san francisco, california",straight,m,aries,no,single,non_stem,
27,62,average,socially,never,graduated from college/university,hispanic / latin,"san francisco, california",straight,f,cancer but it doesn&rsquo,t matter,sometimes,single,non_stem
25,67,skinny,often,sometimes,graduated from space camp,white,"san mateo, california",straight,f,aries,sometimes,single,non_stem,
28,68,a little extra,not at all,never,graduated from two-year college,white,"mountain view, california",straight,f,aries and it&rsquo,s fun to think about,no,single,non_stem
39,70,a little extra,socially,never,graduated from masters program,white,"san francisco, california",straight,m,gemini and it&rsquo,s fun to think about,no,single,non_stem
50,72,average,not at all,never,college/university,white,"richmond, california",straight,m,libra,no,single,non_stem,
40,65,fit,socially,never,working on college/university,"hispanic / latin, other","san francisco, california",straight,m,gemini and it&rsquo,s fun to think about,no,single,non_stem
41,70,average,socially,never,graduated from college/university,white,"san rafael, california",straight,m,aries but it doesn&rsquo,t matter,no,single,non_stem
23,65,curvy,rarely,sometimes,graduated from college/university,white,"oakland, california",bisexual,f,virgo,sometimes,single,non_stem,
30,72,athletic,socially,sometimes,graduated from masters program,white,"san francisco, california",gay,m,pisces but it doesn&rsquo,t matter,when drinking,single,non_stem
26,70,athletic,socially,sometimes,dropped out of college/university,"hispanic / latin, white","san leandro, california",straight,m,scorpio and it&rsquo,s fun to think about,sometimes,single,non_stem
34,68,athletic,socially,never,graduated from college/university,white,"san francisco, california",straight,m,sagittarius,no,single,non_stem,
24,73,athletic,socially,never,working on masters program,white,"alameda, california",straight,m,cancer but it doesn&rsquo,t matter,no,single,non_stem
48,69,average,socially,never,graduated from masters program,black,"oakland, california",gay,m,sagittarius but it doesn&rsquo,t matter,no,single,non_stem
21,75,skinny,socially,sometimes,working on college/university,white,"oakland, california",straight,m,leo but it doesn&rsquo,t matter,when drinking,single,non_stem
22,66,curvy,often,sometimes,graduated from college/university,white,"san francisco, california",straight,f,cancer and it&rsquo,s fun to think about,when drinking,single,non_stem
35,69,skinny,socially,never,graduated from college/university,asian,"oakland, california",straight,m,pisces and it&rsquo,s fun to think about,no,single,non_stem
27,64,full figured,rarely,never,graduated from college/university,"black, hispanic / latin, white","oakland, california",straight,f,aries but it doesn&rsquo,t matter,no,single,non_stem
19,71,average,not at all,never,graduated from high school,white,"martinez, california",straight,m,aquarius but it doesn&rsquo,t matter,no,single,non_stem
29,70,average,socially,sometimes,graduated from college/university,white,"oakland, california",straight,m,virgo,no,single,non_stem,
21,68,average,socially,never,working on college/university,white,"moraga, california",straight,f,leo and it&rsquo,s fun to think about,sometimes,seeing someone,non_stem
49,67,average,socially,never,graduated from masters program,other,"san francisco, california",gay,m,taurus but it doesn&rsquo,t matter,no,single,non_stem
44,67,fit,socially,never,graduated from college/university,white,"menlo park, california",straight,f,cancer,no,single,non_stem,
24,70,full figured,rarely,never,working on masters program,white,"richmond, california",gay,f,taurus but it doesn&rsquo,t matter,no,single,non_stem
25,69,average,socially,never,graduated from college/university,asian,"san francisco, california",straight,f,aries but it doesn&rsquo,t matter,no,single,non_stem
25,71,average,rarely,never,graduated from college/university,white,"san mateo, california",straight,m,cancer but it doesn&rsquo,t matter,no,single,non_stem
26,71,average,socially,never,working on masters program,"hispanic / latin, white","san francisco, california",straight,f,taurus,no,single,non_stem,
23,66,average,often,never,dropped out of high school,asian,"san francisco, california",straight,m,libra and it&rsquo,s fun to think about,yes,seeing someone,non_stem
33,64,a little extra,socially,never,college/university,white,"walnut creek, california",straight,f,aries and it&rsquo,s fun to think about,trying to quit,single,non_stem
29,72,average,socially,never,working on college/university,white,"san francisco, california",straight,m,leo,no,single,non_stem,
40,67,fit,socially,never,graduated from med school,white,"san francisco, california",straight,f,aries,no,single,non_stem,
50,71,athletic,rarely,never,graduated from masters program,white,"san francisco, california",straight,m,aries but it doesn&rsquo,t matter,no,single,non_stem
38,72,fit,socially,sometimes,dropped out of space camp,white,"san francisco, california",straight,m,sagittarius but it doesn&rsquo,t matter,no,single,non_stem
37,70,fit,socially,never,graduated from masters program,white,"san francisco, california",straight,m,taurus but it doesn&rsquo,t matter,no,single,non_stem
28,66,curvy,socially,never,graduated from college/university,"middle eastern, white","san francisco, california",straight,f,aries,no,single,non_stem,
66,70,used up,socially,never,graduated from ph.d program,"native american, white","el cerrito, california",straight,m,leo but it doesn&rsquo,t matter,no,single,non_stem
24,71,fit,not at all,never,working on college/university,white,"san francisco, california",straight,m,pisces but it doesn&rsquo,t matter,no,single,non_stem
27,70,thin,socially,never,working on space camp,white,"walnut creek, california",straight,m,aries and it&rsquo,s fun to think about,no,single,non_stem
41,65,curvy,socially,never,graduated from college/university,white,"san francisco, california",straight,f,aquarius,no,single,non_stem,
65,74,average,socially,never,graduated from college/university,white,"alameda, california",straight,m,sagittarius but it doesn&rsquo,t matter,no,single,non_stem
33,72,average,rarely,sometimes,graduated from space camp,asian,"oakland, california",straight,m,cancer but it doesn&rsquo,t matter,sometimes,single,non_stem
27,64,fit,socially,never,graduated from college/university,asian,"san francisco, california",straight,m,taurus but it doesn&rsquo,t matter,no,single,non_stem
48,67,thin,socially,never,graduated from college/university,white,"san francisco, california",straight,f,leo and it&rsquo,s fun to think about,no,single,non_stem
36,71,skinny,socially,never,graduated from law school,white,"san francisco, california",straight,f,taurus,trying to quit,single,non_stem,
31,66,fit,socially,never,graduated from college/university,white,"san francisco, california",straight,m,libra and it&rsquo,s fun to think about,when drinking,single,non_stem
67,71,fit,rarely,never,graduated from college/university,"native american, white","richmond, california",bisexual,f,scorpio but it doesn&rsquo,t matter,no,single,non_stem
24,64,full figured,rarely,never,working on masters program,black,"san leandro, california",straight,f,sagittarius and it&rsquo,s fun to think about,no,single,non_stem
28,70,athletic,socially,never,graduated from college/university,white,"alameda, california",straight,m,libra,no,single,non_stem,
27,69,athletic,rarely,never,graduated from college/university,white,"san francisco, california",straight,m,gemini and it&rsquo,s fun to think about,no,single,non_stem
31,70,athletic,socially,never,graduated from college/university,white,"san mateo, california",straight,m,aquarius but it doesn&rsquo,t matter,no,single,non_stem
49,71,a little extra,socially,never,graduated from masters program,white,"san bruno, california",straight,m,virgo and it&rsquo,s fun to think about,no,single,non_stem
27,74,fit,socially,never,graduated from college/university,white,"palo alto, california",straight,m,taurus but it doesn&rsquo,t matter,when drinking,single,non_stem
24,68,average,not at all,never,graduated from college/university,white,"san francisco, california",straight,f,capricorn and it&rsquo,s fun to think about,yes,single,non_stem
24,67,athletic,socially,sometimes,graduated from college/university,"asian, white","san francisco, california",straight,f,cancer but it doesn&rsquo,t matter,sometimes,single,non_stem
28,71,fit,socially,never,graduated from masters program,indian,"san francisco, california",straight,m,pisces,no,single,non_stem,
25,68,average,socially,never,working on college/university,hispanic / latin,"castro valley, california",gay,m,taurus but it doesn&rsquo,t matter,no,single,non_stem
26,69,athletic,socially,never,graduated from college/university,asian,"millbrae, california",straight,m,scorpio,no,single,non_stem,
23,68,fit,socially,never,graduated from college/university,white,"palo alto, california",straight,m,sagittarius and it&rsquo,s fun to think about,no,single,non_stem
24,66,average,socially,never,graduated from college/university,asian,"emeryville, california",straight,f,pisces,no,single,non_stem,
32,73,athletic,socially,never,graduated from masters program,white,"sausalito, california",straight,m,aries and it&rsquo,s fun to think about,sometimes,single,non_stem
32,72,athletic,often,never,graduated from masters program,white,"san francisco, california",straight,m,virgo and it&rsquo,s fun to think about,when drinking,single,non_stem
23,69,average,rarely,never,graduated from college/university,"asian, pacific islander, hispanic / latin","san francisco, california",gay,m,leo and it&rsquo,s fun to think about,no,single,non_stem
23,68,full figured,not at all,never,working on law school,asian,"san francisco, california",straight,f,scorpio but it doesn&rsquo,t matter,no,single,non_stem
36,66,average,socially,sometimes,graduated from college/university,white,"oakland, california",straight,f,taurus,no,single,non_stem,
52,70,overweight,socially,never,graduated from college/university,white,"san francisco, california",straight,f,leo and it&rsquo,s fun to think about,when drinking,single,non_stem
28,70,average,socially,sometimes,graduated from college/university,white,"oakland, california",straight,m,gemini but it doesn&rsquo,t matter,sometimes,single,non_stem
44,68,athletic,socially,never,graduated from ph.d program,white,"oakland, california",gay,m,aquarius but it doesn&rsquo,t matter,no,available,non_stem
65,70,average,socially,never,graduated from ph.d program,black,"oakland, california",straight,m,scorpio,no,single,non_stem,
63,63,average,socially,never,graduated from college/university,asian,"alameda, california",straight,f,libra and it&rsquo,s fun to think about,no,single,non_stem
30,70,average,socially,never,working on masters program,white,"san francisco, california",straight,m,aries but it doesn&rsquo,t matter,no,single,non_stem
27,73,athletic,not at all,never,graduated from college/university,other,"san francisco, california",straight,m,libra,no,single,non_stem,
25,72,average,socially,never,graduated from college/university,asian,"san francisco, california",straight,m,aquarius,sometimes,single,non_stem,
35,67,a little extra,rarely,never,graduated from college/university,white,"emeryville, california",straight,f,taurus,no,single,non_stem,
22,71,athletic,often,sometimes,working on two-year college,"black, native american, white","san francisco, california",straight,m,taurus and it matters a lot,yes,single,non_stem,
22,67,curvy,often,never,graduated from college/university,white,"castro valley, california",straight,f,libra,sometimes,single,non_stem,
54,73,fit,socially,sometimes,college/university,white,"oakland, california",straight,m,pisces,no,single,non_stem,
48,70,thin,socially,sometimes,graduated from college/university,white,"emeryville, california",straight,m,taurus but it doesn&rsquo,t matter,sometimes,single,non_stem
32,64,average,rarely,never,graduated from college/university,asian,"san francisco, california",straight,f,virgo,no,single,non_stem,
31,73,athletic,often,sometimes,graduated from college/university,white,"san francisco, california",straight,m,virgo but it doesn&rsquo,t matter,yes,single,non_stem
54,71,fit,socially,never,graduated from masters program,white,"palo alto, california",gay,m,pisces but it doesn&rsquo,t matter,no,single,non_stem
46,64,curvy,socially,never,graduated from college/university,asian,"san francisco, california",straight,f,gemini and it&rsquo,s fun to think about,no,single,non_stem
26,61,thin,not at all,never,graduated from college/university,asian,"san francisco, california",straight,f,pisces and it&rsquo,s fun to think about,no,single,non_stem
28,62,thin,socially,never,graduated from college/university,white,"san francisco, california",straight,f,aries and it&rsquo,s fun to think about,no,single,non_stem
30,71,average,socially,sometimes,graduated from college/university,white,"san francisco, california",straight,m,aquarius and it&rsquo,s fun to think about,when drinking,single,non_stem
23,72,fit,socially,sometimes,working on med school,"white, other","alameda, california",straight,m,gemini and it&rsquo,s fun to think about,no,single,non_stem
33,75,athletic,socially,never,graduated from law school,asian,"oakland, california",straight,m,scorpio,no,single,non_stem,
29,73,full figured,socially,never,working on two-year college,hispanic / latin,"vallejo, california",straight,m,libra,sometimes,single,non_stem,
38,69,curvy,socially,never,graduated from college/university,white,"oakland, california",gay,f,pisces and it&rsquo,s fun to think about,no,single,non_stem
23,68,athletic,often,sometimes,graduated from two-year college,"pacific islander, white","belmont, california",straight,m,leo and it&rsquo,s fun to think about,sometimes,single,non_stem
38,64,fit,socially,never,graduated from college/university,white,"walnut creek, california",straight,f,pisces and it&rsquo,s fun to think about,no,single,non_stem
46,71,overweight,socially,never,graduated from masters program,white,"oakland, california",gay,m,taurus and it&rsquo,s fun to think about,no,single,non_stem
27,64,fit,socially,never,graduated from college/university,white,"san francisco, california",straight,f,virgo and it&rsquo,s fun to think about,no,single,non_stem
28,67,full figured,socially,never,graduated from college/university,white,"san francisco, california",straight,f,aquarius but it doesn&rsquo,t matter,no,single,non_stem
32,63,thin,socially,never,graduated from masters program,asian,"san francisco, california",straight,f,gemini,no,single,non_stem,
28,70,fit,socially,never,graduated from college/university,white,"oakland, california",straight,m,aries and it&rsquo,s fun to think about,no,single,non_stem
40,70,average,socially,never,graduated from masters program,asian,"san francisco, california",straight,m,pisces and it&rsquo,s fun to think about,no,single,non_stem
28,65,average,socially,never,graduated from college/university,white,"san francisco, california",straight,f,taurus and it&rsquo,s fun to think about,no,single,non_stem
39,74,average,socially,never,graduated from college/university,other,"san francisco, california",gay,m,cancer but it doesn&rsquo,t matter,no,single,non_stem
30,60,curvy,socially,never,working on college/university,"black, white","san francisco, california",straight,f,pisces but it doesn&rsquo,t matter,no,single,non_stem
38,71,thin,socially,never,graduated from college/university,white,"oakland, california",straight,m,scorpio but it doesn&rsquo,t matter,no,single,non_stem
29,68,a little extra,socially,never,graduated from high school,"pacific islander, hispanic / latin","alameda, california",straight,m,leo but it doesn&rsquo,t matter,no,single,non_stem
47,69,average,rarely,never,graduated from two-year college,white,"san francisco, california",straight,m,aries but it doesn&rsquo,t matter,no,single,non_stem
66,65,average,rarely,never,graduated from college/university,white,"san francisco, california",straight,f,libra and it&rsquo,s fun to think about,no,single,non_stem
52,71,athletic,not at all,never,graduated from college/university,"black, native american, other","san francisco, california",straight,m,pisces,no,single,non_stem,
